,Downloaded,pos_x,pos_y,pos_z,cm_x,cm_y,cm_z,mass,sfr,halfmassrad,m_stars,Z_gas,m_gas
387308,0,32564.9,17718.5,2422.54,32562.6,17718.5,2424.61,26.0526,6.3742,47.2519,0.929399,0.0207008,2.65962
387469,0,20440.7,22844.7,22573.5,20437.2,22839.9,22571.8,26.6064,5.15821,46.0278,1.00301,0.0197752,2.47588
387628,0,22553.5,24316.3,21169.3,22552.1,24323.5,21174.5,26.5925,4.92887,51.5339,0.974903,0.0314947,2.79607
387806,0,20795.8,4330.46,4857.45,20805.7,4325.95,4858.4,20.5069,2.75799,51.3732,0.410193,0.00968985,2.95704
388044,0,6497.12,8391.57,8542.55,6493.9,8387.16,8559.03,28.7001,4.65182,65.6076,0.277342,0.0141272,3.24759
388298,0,20457.8,30735.9,16189.1,20452.8,30738.6,16187.5,27.6235,4.087,63.7082,0.823606,0.0239771,2.8506
388534,0,22717.5,25795.6,22682.7,22718.7,25789.4,22674.5,26.0407,5.62672,52.4638,0.781452,0.0199424,2.96334
388809,0,22462.6,2518.15,18108.7,22463.5,2516.55,18113.2,28.4344,7.06219,48.0808,1.12691,0.02024,2.67594
388914,0,21599.2,18066.1,19224.8,21603.0,18068.6,19224.2,26.6074,6.14869,51.0143,0.849542,0.0254151,2.71359
389092,0,11281.2,14147.0,6865.96,11285.1,14140.2,6861.75,29.07,2.62149,57.5067,0.78195,0.0252412,2.90229
389266,0,19088.9,34973.5,27497.4,19087.0,34967.1,27489.6,26.8293,4.32468,45.6139,1.00965,0.0224307,2.75723
389391,0,309.056,19871.3,31413.6,314.212,19873.6,31407.6,25.9512,4.87646,52.2021,0.558012,0.0166505,3.1183
389566,0,10083.8,11132.2,2925.91,10078.5,11131.9,2923.89,25.7744,6.84229,44.1965,0.979405,0.0216682,3.14425
389710,0,21289.0,9844.91,25512.3,21283.1,9830.79,25508.7,25.5576,2.78951,58.2924,0.613306,0.0173815,2.30988
389979,0,10105.6,18694.7,26631.3,10092.0,18693.4,26650.8,21.8285,1.58585,69.1702,0.168729,0.0118139,2.90946
390233,0,25245.7,23248.5,9213.59,25247.4,23252.1,9218.06,24.5686,7.55655,49.5835,0.814547,0.0224824,3.16756
390427,0,32950.3,34695.5,16829.3,32947.9,34704.0,16825.1,26.4994,3.20818,60.8875,0.408506,0.0110582,3.6808
390610,0,6949.86,25558.2,28138.2,6950.39,25559.9,28138.0,22.8967,3.4422,46.7234,0.845438,0.0210652,2.48053
390806,0,3700.51,26847.7,23432.1,3700.03,26850.4,23431.4,24.4807,4.11569,50.6352,0.720414,0.0133883,3.53449
390914,0,13215.0,15966.3,30070.7,13222.8,15970.7,30078.7,24.8062,4.46257,51.6791,0.750042,0.0209,2.49945
391058,0,13919.6,7185.39,697.453,13918.6,7188.5,690.672,20.9424,3.74151,43.4721,0.743545,0.0227346,2.03825
391298,0,8281.28,644.016,24507.5,8267.36,653.44,24506.4,24.809,2.20074,61.5585,0.597803,0.0242344,2.53959
391529,0,7635.74,23996.5,34509.5,7629.69,23996.0,34511.3,24.1134,4.62178,47.5213,0.784354,0.021848,2.99417
391724,0,16841.5,31420.7,26835.5,16842.6,31422.6,26833.9,22.2885,5.62844,42.8214,1.13296,0.0213667,2.92639
391891,0,26034.0,5391.74,34326.9,26024.5,5387.85,34319.4,22.7068,3.84917,52.2271,0.684343,0.0193493,2.25679
392120,0,7767.26,7991.0,12271.7,7762.34,7991.79,12290.3,24.1817,4.81237,50.9588,0.437614,0.0102435,3.15669
392305,0,19951.1,21424.9,26502.2,19957.2,21435.5,26479.4,19.5088,3.57542,55.5477,0.240123,0.00670432,3.42886
392479,0,20914.4,19265.5,19702.2,20918.5,19261.2,19698.7,26.2855,4.91632,55.0575,0.656795,0.0193197,2.52867
392714,0,22483.6,27621.0,15205.3,22481.0,27617.7,15202.0,23.6902,3.7516,53.2084,0.384581,0.0145737,3.05728
392956,0,1429.9,6666.14,24639.6,1433.71,6663.51,24639.9,25.2715,3.70362,53.67,0.477325,0.0101929,3.13135
393147,0,13739.2,28042.6,27209.6,13732.1,28031.9,27209.9,23.7545,4.29808,52.9806,0.434619,0.0115775,3.25429
393323,0,3542.09,17526.7,23970.5,3541.73,17523.0,23971.8,26.1919,6.17858,44.877,0.772122,0.0148061,3.16272
393463,0,21996.6,988.068,19449.4,21995.6,1001.51,19444.5,16.1844,5.13039,41.5075,0.23366,0.0124638,1.56137
393464,0,22023.9,1240.06,19350.3,22024.3,1242.26,19352.2,9.66636,1.10112,32.8412,0.151603,0.0130554,0.9232
393634,0,18240.0,19921.6,22024.7,18248.1,19915.1,22025.7,25.1046,4.01457,54.1702,0.800552,0.0219964,2.92928
393766,0,10220.4,7313.87,4160.34,10218.7,7315.66,4158.92,7.61469,2.0928,22.779,0.286213,0.0181329,0.714585
394019,0,34532.4,21675.4,11052.2,34528.4,21678.1,11048.7,25.7955,5.80448,43.6848,0.931522,0.0154901,2.9255
394112,0,33235.0,21645.2,993.318,33231.6,21619.6,974.031,23.5169,1.33113,65.0493,0.262145,0.0116146,3.02361
394245,0,28148.2,7007.15,32.2172,28147.6,7005.19,32.4007,25.0563,5.87932,38.9726,0.898521,0.0154148,3.1116
394348,0,5646.73,21158.2,17827.3,5646.49,21158.8,17829.6,26.1783,3.38065,48.9665,0.835109,0.0215749,2.78337
394481,0,25352.0,31725.6,16233.9,25349.2,31720.9,16233.8,26.7881,3.22613,45.9774,0.990713,0.0298644,2.34201
394598,0,23594.0,12464.0,17453.7,23592.9,12466.9,17443.9,24.6739,6.1443,49.7964,0.486966,0.0142352,2.93016
394790,0,19255.7,16263.6,2214.61,19276.7,16264.2,2207.22,23.6164,3.04637,56.1433,0.820663,0.0402131,2.68111
394943,0,24470.2,17497.9,31660.4,24470.3,17496.0,31658.7,25.5495,2.32539,46.1711,1.08712,0.0331259,2.43189
395107,0,2461.68,17622.0,7733.26,2468.38,17619.4,7734.92,22.5298,4.01836,47.2399,0.814679,0.0192302,2.54668
395285,0,6756.07,25736.3,28876.2,6759.66,25737.0,28872.8,20.4446,5.87092,48.1163,0.544519,0.0165668,2.44287
395480,0,12515.0,27480.5,26461.1,12500.8,27479.0,26456.4,15.0091,1.1169,50.0679,0.105713,0.00796652,1.85002
395708,0,10468.8,20209.7,2862.62,10466.9,20196.4,2860.33,22.6168,3.85933,49.3753,0.653884,0.0139062,2.72567
395893,0,6868.5,25812.5,26096.8,6871.82,25811.2,26099.0,17.9622,4.42106,38.8702,0.812914,0.0219123,2.02709
396113,0,2831.18,20853.8,14518.6,2831.69,20854.4,14519.8,24.7161,6.1183,37.5467,1.49559,0.024614,1.86748
396185,0,24622.5,3060.04,7663.67,24616.1,3056.82,7656.4,23.7225,5.0156,52.7071,0.477294,0.0143126,2.65418
396333,0,13004.8,30512.5,28667.6,13002.7,30515.8,28673.1,24.9677,4.07343,52.7002,0.709251,0.0199242,2.78544
396542,0,25425.8,26298.9,20420.6,25431.8,26298.3,20429.6,24.7546,5.21951,52.3374,0.42225,0.0162158,2.73592
396763,0,9087.84,30041.7,18249.7,9089.19,30046.9,18253.3,17.7094,4.2137,42.456,0.525338,0.0163885,2.11874
396909,0,11227.0,20524.2,1682.91,11228.9,20529.9,1683.91,24.5362,5.1503,48.469,0.985323,0.0250439,2.60967
397028,0,22402.9,5782.34,9369.72,22408.9,5770.19,9379.96,23.5784,4.35888,58.0931,0.532394,0.0182502,3.0031
397180,0,23610.4,22182.7,3080.9,23611.5,22180.9,3079.39,21.422,3.48431,52.1154,0.477682,0.0210045,2.53135
397370,0,25989.6,4413.33,33278.2,25987.5,4408.34,33280.7,24.6795,3.94317,54.9731,0.337968,0.0132736,3.49702
397632,0,31920.2,6689.9,13679.4,31911.8,6692.09,13686.9,24.4085,2.56829,53.3209,0.723814,0.0240417,2.26403
397786,0,33240.4,28311.2,13611.8,33242.3,28309.3,13611.9,23.8966,6.13574,45.2091,0.642652,0.0118055,3.32168
397960,0,22813.1,16072.8,4284.3,22806.7,16065.7,4294.37,11.7296,1.16303,40.3359,0.117854,0.00885563,1.38031
398209,0,28742.2,27657.6,11204.3,28735.9,27662.3,11194.2,21.2471,3.51442,48.9378,0.423799,0.013773,2.82868
398420,0,7346.94,9629.56,5005.66,7346.48,9624.47,5004.66,22.8591,6.02247,48.9018,0.583669,0.0154216,3.09907
398645,0,395.286,16980.3,7494.44,395.7,16982.9,7491.41,15.3703,1.96411,45.8281,0.374836,0.0189393,1.63402
398646,0,412.041,17067.7,7284.08,411.805,17067.9,7284.7,9.15586,1.30656,31.1237,0.172007,0.0131904,1.03252
398942,0,20472.1,4812.27,8356.46,20466.2,4803.21,8368.04,23.4198,2.75522,59.8387,0.531484,0.0166932,2.40456
399117,0,11225.8,8034.03,1566.92,11217.1,8032.32,1566.76,22.5441,3.93417,48.2067,0.568983,0.0124027,3.18114
399304,0,28043.6,18778.6,6152.22,28055.9,18774.6,6151.6,20.989,1.58972,60.2513,0.069091,0.00495587,2.52992
399571,0,5858.75,24723.4,21161.9,5848.02,24718.7,21167.7,21.9977,7.03145,43.9254,0.598191,0.0112279,2.92063
399732,0,9223.37,29668.8,17068.7,9222.59,29670.0,17069.4,26.4268,3.29428,56.8501,0.585417,0.0222204,2.23907
399950,0,15785.4,26370.8,30953.3,15790.4,26373.5,30950.1,23.7811,3.91036,47.5092,0.993,0.0242401,2.36679
400137,0,20130.8,19822.4,19121.8,20132.5,19823.2,19120.6,22.6374,2.6099,44.6702,1.47244,0.0414119,1.48331
400258,0,25022.4,26961.2,497.677,25027.4,26958.9,498.871,24.9601,7.47747,48.268,0.678099,0.0170297,2.78346
400427,0,12834.0,715.499,14328.7,12841.2,718.716,14328.8,23.2168,3.94833,50.8457,0.63898,0.0189792,2.57919
400611,0,21742.4,4636.3,18227.9,21739.2,4635.69,18227.7,24.2929,4.93749,48.2808,0.979549,0.0261313,2.08677
400782,0,7625.24,24746.8,21037.4,7621.75,24749.3,21039.2,17.997,2.26966,49.3723,0.448071,0.0137316,2.08906
401039,0,19240.4,14072.7,418.573,19249.4,14072.1,423.985,24.2535,4.07985,45.3029,0.804648,0.0210494,2.56445
401202,0,22125.0,12025.7,19404.5,22132.1,12027.0,19396.3,16.3503,1.44208,47.5371,0.254182,0.0114561,2.31399
401367,0,12970.6,19600.9,24612.8,12968.8,19597.4,24616.7,24.4552,6.05988,42.3567,0.502491,0.0124219,3.05789
401527,0,12202.6,30842.5,18544.9,12204.9,30843.9,18540.3,23.3089,4.87967,47.9603,0.547104,0.0113892,3.39067
401716,0,15795.5,28817.0,26545.8,15793.2,28817.0,26546.0,24.6334,3.07144,52.3994,0.407016,0.0204522,2.80113
401938,0,25221.9,33781.0,14471.1,25229.0,33769.8,14482.7,22.4544,4.73918,49.9088,0.639589,0.0195456,2.30315
402215,0,37.0406,32470.1,23799.5,29.4106,32479.5,23804.3,19.8675,6.23271,53.806,0.494553,0.0182963,2.64669
402466,0,13529.8,30442.3,28008.6,13531.8,30440.8,28006.2,23.3381,5.35449,38.2947,1.20242,0.0227506,2.09132
402556,0,3793.43,18067.6,23607.0,3785.82,18069.3,23604.0,23.6249,3.46363,48.9516,0.449903,0.0116198,3.21777
402698,0,13572.1,6668.61,35.4078,13568.1,6663.36,37.261,21.2807,5.28382,44.2616,0.465193,0.00992108,3.71297
402840,0,24439.1,26836.1,339.729,24433.4,26843.8,323.645,23.1164,2.33934,58.2266,0.315645,0.0149073,2.77423
403002,0,28312.1,25897.6,22403.3,28312.5,25897.3,22402.9,22.3907,4.24083,45.6745,0.883911,0.0165698,2.44475
403113,0,866.067,17981.9,5271.05,868.32,17991.6,5278.3,17.6624,1.1887,54.2822,0.223768,0.019081,1.91224
403364,0,24813.0,4639.56,21173.7,24811.3,4639.34,21174.5,26.3229,2.30425,59.3066,0.578571,0.0256926,2.40778
403530,0,32331.1,11079.6,10675.5,32330.1,11080.0,10680.0,22.4676,3.50183,49.8538,0.691908,0.0221297,2.21621
403715,0,20782.2,22816.9,21208.9,20770.9,22817.1,21204.4,20.29,2.63265,55.1078,0.344075,0.0157281,2.4819
403860,0,11303.4,15885.8,27280.8,11301.9,15886.6,27281.7,23.9552,4.98104,40.5137,0.988828,0.0179216,2.44813
403992,0,26195.1,20538.9,4291.82,26186.5,20541.4,4288.93,20.6716,3.59045,48.0509,0.580962,0.0250322,2.27545
404145,0,19450.2,10645.6,18385.0,19448.2,10646.1,18384.2,24.0403,6.10412,45.4692,0.973924,0.0255346,2.13889
404288,0,22049.8,27669.4,22918.1,22053.2,27668.4,22919.7,26.3908,2.66632,47.9083,0.888822,0.02718,1.99131
404390,0,22947.7,24092.9,20479.5,22951.0,24077.4,20492.8,16.6697,1.82904,46.4438,0.431847,0.0224621,1.67467
404514,0,21681.5,17379.8,5835.9,21677.6,17378.8,5836.91,24.4371,4.53594,47.3683,0.750949,0.0253613,2.23379
404656,0,10111.7,9866.27,27412.5,10108.1,9861.49,27410.3,23.7326,5.21556,59.6325,0.653571,0.0257676,2.27468
404896,0,11699.7,19582.7,23901.3,11698.0,19586.7,23900.7,25.3331,2.71443,57.9949,0.590918,0.0230483,2.27779
405067,0,8815.62,29990.8,17870.7,8817.61,29990.9,17871.5,22.4281,5.52288,41.0265,0.756257,0.0148914,3.07283
405137,0,5116.62,12488.2,23268.8,5115.37,12481.3,23270.8,21.8245,4.28335,57.9991,0.427319,0.0180326,2.86069
405405,0,25509.2,940.995,23165.6,25510.9,937.132,23159.1,23.204,4.61882,49.3778,0.37248,0.0107875,2.91503
405590,0,13558.0,3122.07,15950.1,13552.1,3119.93,15944.1,23.8685,3.9986,55.7962,0.359597,0.0136474,2.95805
405799,0,9587.83,23928.0,21972.6,9585.21,23927.3,21974.7,21.8924,3.66862,41.4157,0.60716,0.0115023,3.22477
405896,0,21550.3,1141.39,12234.9,21546.9,1137.14,12236.7,25.1777,3.4027,49.3202,0.740219,0.0158978,2.36521
405993,0,19613.1,30754.8,7321.28,19611.5,30750.7,7320.11,21.4341,1.45114,58.0882,0.293292,0.0191235,2.42518
406259,0,8087.03,543.8,23634.9,8096.44,539.816,23646.6,23.7209,4.51373,56.1261,0.298955,0.0120133,2.77471
406512,0,33682.1,15043.9,9384.63,33676.8,15044.3,9389.41,21.754,3.5812,51.2369,0.528418,0.0171289,2.57888
406683,0,20598.6,5164.48,33007.2,20599.4,5161.05,33005.0,23.2998,4.38105,49.7587,0.561714,0.0117726,2.58487
406807,0,24879.7,26768.7,22553.4,24874.1,26762.5,22559.0,20.5982,2.82905,48.8438,0.476489,0.0133326,2.36478
407060,0,1459.46,2293.73,18824.6,1457.9,2297.04,18822.2,24.2665,3.78987,46.8069,0.873214,0.0231425,2.16875
407171,0,8159.29,7672.71,12303.0,8158.84,7671.04,12301.6,22.4655,3.31659,47.0348,0.757761,0.032994,2.21046
407320,0,33050.8,28829.5,13267.8,33060.1,28834.0,13273.0,22.2913,3.41968,47.2085,0.583129,0.0254715,2.40003
407433,0,17345.2,32493.2,27345.3,17348.9,32495.9,27344.6,22.7661,2.13143,51.3091,0.371392,0.0120981,2.80241
407574,0,22808.8,4926.69,31807.4,22803.5,4927.53,31810.1,24.5087,3.90896,46.5059,0.480714,0.0130261,2.81859
407673,0,5718.83,1085.44,24156.9,5720.33,1081.44,24152.4,22.6851,2.83396,47.9937,0.93566,0.0356706,1.86553
407798,0,19968.1,11266.9,2506.17,19950.5,11258.9,2511.79,17.0355,1.71398,50.9382,0.239492,0.0117113,2.24043
408055,0,20660.0,3468.66,137.574,20660.6,3467.64,135.731,24.614,2.08659,43.5515,1.15195,0.0290795,1.63245
408146,0,34156.7,16180.6,24612.5,34156.8,16176.9,24609.3,23.8705,3.84975,44.7243,0.871484,0.0254842,2.0563
408305,0,16212.2,33789.2,30070.3,16217.2,33785.0,30069.7,21.8844,4.85576,49.1351,0.809648,0.0227409,1.93222
408474,0,2441.66,18476.6,15102.7,2446.49,18484.6,15103.0,21.5084,3.62036,45.6408,0.638499,0.0203771,2.89524
408628,0,12814.4,21237.7,17234.9,12787.8,21235.1,17223.3,20.5239,2.39665,67.5091,0.239258,0.00900528,3.14053
408790,0,17686.7,30303.7,11630.7,17676.9,30297.0,11639.7,18.0928,1.31477,53.3729,0.120646,0.00702068,2.66507
408975,0,14059.3,31151.6,20322.0,14059.8,31145.5,20316.7,22.9643,3.49571,45.6879,0.559275,0.0164287,2.54024
409148,0,16335.4,16683.6,945.214,16325.1,16686.2,945.331,21.1622,2.95607,46.9,0.490704,0.0137828,2.41993
409284,0,22653.8,2703.19,17657.7,22675.0,2714.74,17664.1,22.819,2.4613,67.1733,0.267238,0.0108972,2.74011
409489,0,18184.3,21223.1,14488.1,18152.6,21213.2,14481.9,17.2286,1.40202,60.9375,0.172618,0.00915927,1.96212
409645,0,26242.1,32591.8,14914.0,26245.2,32595.5,14902.1,23.6805,3.78971,51.3499,0.461373,0.0172179,2.56133
409849,0,323.185,15889.4,5541.77,331.844,15894.5,5546.47,23.6312,3.08133,53.1125,0.539871,0.0213125,2.18619
410050,0,32790.3,11003.9,34258.6,32786.2,11019.6,34258.9,19.8783,4.59101,48.4417,0.191819,0.00772678,2.73278
410535,0,4224.43,34415.8,24302.3,4243.84,34414.4,24302.9,18.8165,1.34387,56.6273,0.444596,0.0268698,1.91425
410697,0,7136.23,24287.0,29118.4,7136.94,24285.0,29118.6,22.3169,3.7555,42.1656,0.772624,0.0250973,2.38467
410784,0,31893.1,8862.9,24594.1,31896.8,8863.03,24593.1,22.7417,2.92016,39.7239,1.10303,0.0330105,1.60207
410888,0,15188.8,10057.8,2311.95,15192.6,10061.4,2323.22,18.1083,2.89614,53.9815,0.159097,0.00992272,2.33504
411124,0,15255.1,19865.7,21091.1,15263.2,19863.8,21088.8,22.2634,2.60802,56.1867,0.433572,0.0158707,2.15428
411277,0,1991.71,3698.36,34807.4,1990.93,3696.62,34803.0,22.4409,3.54599,46.3013,0.785611,0.0214023,1.96258
411411,0,3234.03,26652.0,24722.2,3234.75,26650.5,24723.1,21.3352,5.07574,44.1287,0.847762,0.0177244,2.30535
411540,0,2285.63,22640.7,14777.1,2287.42,22637.3,14776.1,21.427,4.59385,38.9131,0.817692,0.0153825,2.49304
411641,0,31401.9,24350.8,31856.6,31398.3,24350.0,31859.0,22.0406,2.20948,42.8994,1.32138,0.0199085,1.3083
411705,0,13426.7,21929.3,34853.9,13427.7,21925.6,34854.4,22.5705,3.2185,51.3506,0.42924,0.0171103,2.7776
411899,0,19857.2,27931.4,25248.4,19849.8,27931.5,25245.8,22.1824,3.72675,50.424,0.580382,0.0144401,2.44117
412099,0,7742.54,24675.9,33715.3,7741.3,24677.2,33712.3,22.8123,1.8775,44.6756,1.03663,0.0297789,1.77717
412188,0,29693.8,11350.2,391.804,29697.4,11342.7,393.866,23.61,2.07346,57.5447,0.445419,0.0213657,2.30019
412363,0,26226.2,34768.3,12730.6,26221.3,34763.7,12719.2,16.8711,1.71006,42.6154,0.500352,0.0251943,1.43096
412530,0,1541.24,31210.6,9047.47,1550.46,31228.7,9075.0,20.3587,2.46159,57.7689,0.372891,0.0160131,2.3856
412714,0,10308.6,26153.8,16500.8,10309.2,26156.7,16496.6,23.1663,3.7327,44.3234,0.790145,0.0316845,2.01431
412828,0,8868.94,30032.9,20525.1,8885.34,30027.7,20523.1,17.018,2.58643,41.0948,0.195853,0.00618976,2.76019
413028,0,3329.58,21482.9,15800.0,3332.85,21479.8,15784.5,20.0081,2.50699,43.862,0.814904,0.0267681,2.25384
413113,0,30203.0,10661.5,30166.6,30202.4,10656.3,30161.0,22.8871,3.13074,53.3685,0.466019,0.0175391,2.59407
413519,0,26145.2,10990.3,24667.3,26141.7,10982.9,24670.7,23.0567,2.1116,53.2353,0.77752,0.0364403,1.64161
413705,0,15600.5,25373.0,32449.8,15594.7,25366.1,32450.0,21.9165,3.26907,47.8633,0.548733,0.0243885,2.24934
413823,0,20498.5,15845.6,29233.9,20491.3,15844.3,29224.1,22.3236,2.43649,43.5993,0.793172,0.0230932,1.48626
413958,0,2981.91,383.981,4130.72,2982.0,385.98,4115.62,15.4889,1.56864,51.439,0.159959,0.0140406,1.8349
414201,0,13194.1,32363.1,21377.1,13176.9,32358.5,21371.7,19.1274,1.61357,60.7872,0.149617,0.00808583,2.72735
414629,0,6594.16,7973.52,30407.0,6604.9,7992.46,30416.1,19.375,2.00517,54.5256,0.307764,0.0234535,2.33511
414893,0,655.206,24858.2,6486.35,651.446,24860.9,6487.9,21.1317,4.10505,48.645,0.436219,0.0175336,2.66278
415274,0,8818.99,25937.7,29119.0,8818.04,25936.4,29123.4,21.0351,4.62627,42.5826,0.637682,0.0148324,2.50914
415394,0,30817.6,32672.2,7354.87,30818.2,32670.3,7362.27,19.2858,2.7426,50.6877,0.370682,0.0138161,2.80902
415578,0,2694.94,26404.8,24944.6,2691.55,26404.2,24943.2,20.2963,3.92619,50.3116,0.581825,0.0222741,2.48875
415753,0,16579.0,197.255,31605.4,16570.6,201.641,31599.2,16.2396,2.46266,45.8271,0.286704,0.00997448,2.06286
415976,0,9204.77,23735.2,2984.59,9206.35,23728.6,2987.07,22.2649,2.04561,50.971,0.740171,0.0373597,1.84673
416119,0,26118.4,7026.23,23619.6,26116.8,7027.93,23614.3,22.7272,3.29302,48.8269,0.589624,0.0290727,2.00316
416256,0,14558.2,28736.7,27640.3,14556.3,28716.9,27633.4,16.1848,1.87965,53.4187,0.180457,0.00794869,2.3645
416481,0,19706.4,22172.7,13786.2,19702.2,22175.1,13779.5,21.1375,3.18934,44.6324,0.409297,0.0141753,2.54657
416590,0,12828.7,20166.4,21438.5,12825.3,20170.8,21442.0,19.5791,3.61355,49.6474,0.506702,0.0198045,2.23365
416755,0,16165.4,1096.25,32245.1,16161.9,1099.97,32243.7,20.7061,2.20734,39.7748,0.996838,0.0330848,1.91002
416836,0,6987.19,23294.9,154.159,6983.09,23292.4,153.56,21.7702,4.63537,46.4195,0.653284,0.0148465,2.22706
416944,0,13221.5,3242.94,4167.22,13218.7,3241.42,4161.16,13.6417,1.81168,44.5864,0.185209,0.00888512,1.52163
416945,0,13180.8,3276.45,3934.8,13179.4,3272.72,3936.91,7.12959,1.05066,30.4654,0.137798,0.0124637,0.794698
417132,0,13051.5,22451.4,13047.8,13041.0,22455.2,13050.3,18.0746,1.54052,52.9195,0.409381,0.0277995,1.81708
417317,0,16349.3,28543.0,28067.3,16348.7,28549.7,28064.5,20.836,3.00379,52.5135,0.424909,0.0144422,2.46368
417496,0,29219.1,21251.4,2660.71,29211.1,21249.2,2681.9,13.4455,2.3311,43.2865,0.284486,0.0181265,1.59193
417706,0,19639.0,32836.0,10205.8,19639.8,32830.1,10206.3,21.8858,3.46286,53.0843,0.4759,0.0202774,2.30618
417872,0,33387.8,10549.2,1933.74,33387.6,10550.6,1934.55,22.5518,2.4955,42.1274,0.979117,0.0299163,1.44158
417985,0,28634.6,6331.83,2601.7,28639.2,6332.88,2603.93,22.8652,1.60775,53.6298,0.61583,0.0306419,1.69212
418150,0,10963.8,33283.2,7483.26,10972.6,33292.4,7489.45,18.0259,1.68467,52.4402,0.251041,0.013978,2.21009
418293,0,17683.8,30357.5,14832.7,17686.8,30357.9,14831.1,21.5854,3.27724,46.9595,0.816887,0.0378317,1.78299
418402,0,29086.7,27921.9,11331.6,29091.6,27924.4,11331.8,19.9049,3.15244,49.16,0.349957,0.0130036,2.38738
418637,0,18326.7,6250.01,25038.7,18320.1,6245.6,25040.8,18.4325,2.07539,48.1906,0.353653,0.0174914,2.46175
418831,0,30491.3,6045.77,1975.76,30487.2,6045.01,1981.57,11.9621,1.75346,40.2826,0.22704,0.0110572,1.33603
419018,0,22697.2,15543.3,5051.5,22696.4,15536.1,5052.77,20.4678,3.16842,57.1491,0.340599,0.0143811,2.43273
419416,0,26119.6,10620.9,25751.9,26110.5,10618.1,25746.3,20.5815,2.16531,54.0309,0.209103,0.0126464,2.75484
419557,0,3875.06,23086.5,32074.3,3882.22,23077.6,32071.1,19.7057,2.22904,58.5434,0.285078,0.0151592,2.43644
419759,0,7260.87,28277.1,21113.0,7260.79,28273.7,21114.8,20.6293,3.93279,46.4781,0.727266,0.0257393,2.04067
419877,0,28604.0,22519.6,4797.04,28601.2,22506.5,4791.08,21.1504,4.70629,51.1584,0.446637,0.0187602,2.07841
420076,0,16341.2,20989.1,14523.6,16336.7,20991.6,14520.9,21.6554,2.4277,44.5811,0.568658,0.0200273,2.18216
420173,0,34625.8,3463.25,21769.2,34618.6,3469.81,21766.7,20.0254,2.62828,55.0984,0.181282,0.00835471,2.32493
420357,0,12647.1,20483.3,21140.9,12646.4,20479.1,21139.0,11.1274,1.31938,39.2588,0.298494,0.0199828,1.21863
420495,0,23121.0,14756.4,2441.57,23115.8,14758.2,2438.95,16.9171,5.65447,35.9806,0.781645,0.020262,2.31392
420605,0,33699.3,11447.0,34865.4,33698.6,11447.6,34862.9,19.4773,5.5437,40.0873,0.579242,0.0135523,2.61206
420715,0,18193.6,4246.43,5590.75,18179.7,4249.18,5588.14,11.8829,1.20868,38.8821,0.223475,0.0121645,1.58234
420880,0,18217.2,30543.6,26570.6,18224.1,30537.2,26560.0,18.946,3.73906,50.9005,0.305199,0.0144015,2.46134
421017,0,3376.46,20010.3,6411.52,3372.94,20008.7,6406.2,20.1099,3.83871,44.418,0.49195,0.012865,2.60272
421418,0,2724.04,20848.9,15932.3,2731.51,20854.9,15935.2,17.2583,2.89592,42.3061,0.401605,0.0109042,2.54234
421530,0,22183.7,25840.0,27958.1,22180.5,25844.8,27964.5,20.4716,3.00843,53.027,0.520028,0.0300679,2.05979
421865,0,23781.8,23706.9,19220.7,23781.1,23692.4,19218.3,16.7817,1.09498,54.4206,0.142948,0.00777579,2.24985
422282,0,24780.4,5659.43,34178.0,24782.2,5654.49,34174.3,20.5385,2.66528,55.7616,0.41325,0.0186507,2.39763
422414,0,6429.63,25731.8,24874.5,6432.16,25737.6,24870.3,18.047,4.62772,32.2065,0.608305,0.0143935,2.36189
422458,0,8459.61,22506.5,4823.06,8459.79,22498.9,4816.15,20.8533,1.81772,45.5707,0.165222,0.0110145,2.30357
422805,0,34229.7,11806.4,1067.93,34230.4,11807.5,1081.48,12.734,1.73044,48.2797,0.139927,0.0104362,1.43006
422995,0,4334.37,16361.3,7890.7,4327.33,16373.1,7892.54,15.8573,1.84946,42.9699,0.198798,0.00937174,2.3454
423128,0,24023.4,683.391,5646.64,24030.9,676.468,5636.67,18.1192,2.04858,52.896,0.506317,0.0276787,2.05014
423234,0,9054.83,21272.5,2545.22,9052.71,21273.9,2546.82,19.7095,3.37811,43.4078,0.684326,0.017245,2.27404
423320,0,31887.2,6350.15,14141.0,31876.9,6344.83,14147.2,17.841,4.17783,42.3544,0.274764,0.0126379,2.13228
423763,0,4749.47,11946.3,24139.1,4753.8,11949.3,24130.7,18.9369,2.6318,47.561,0.21326,0.00961376,2.58149
423932,0,17745.4,23900.9,1046.64,17744.0,23903.8,1050.0,17.4945,4.70325,39.8884,0.617454,0.0138096,2.3952
424050,0,26046.0,2306.5,18232.8,26044.0,2305.66,18232.4,19.8707,2.08126,50.3599,0.345994,0.0198242,2.38369
424199,0,33711.7,26810.4,28080.3,33711.4,26811.1,28088.7,11.2291,1.73227,41.0076,0.219741,0.0123704,1.22861
424384,0,33923.1,21327.0,10249.5,33929.5,21328.2,10241.0,15.5884,1.35309,52.2998,0.250405,0.0219056,1.99725
424573,0,11986.7,12451.5,32730.8,11990.6,12453.3,32734.0,18.5814,3.49523,48.6386,0.265298,0.0117642,2.55195
424760,0,31035.1,12395.2,10565.4,31037.5,12398.0,10566.2,19.1561,3.34155,46.19,0.467796,0.0182241,2.19108
