,Downloaded,pos_x,pos_y,pos_z,cm_x,cm_y,cm_z,mass,sfr,halfmassrad,m_stars,Z_gas,m_gas
351670,0,25.1419,14592.3,12258.2,17.3087,14591.0,12246.6,28.952,5.92027,48.66,2.11354,0.034518,2.8211
351902,0,4986.19,3846.27,33090.5,4998.76,3869.91,33087.7,35.3231,2.53876,74.3296,0.968382,0.0322999,4.06153
352115,0,32715.9,16242.9,2642.66,32720.6,16233.3,2647.91,39.6951,6.27399,59.3927,1.95175,0.0326541,3.35438
352371,0,26999.5,21889.1,6979.9,26995.6,21886.5,6975.72,40.4373,6.72432,61.5986,1.66983,0.0270084,3.30811
353058,0,9250.29,12580.2,9093.55,9250.61,12582.1,9091.58,42.5718,2.45942,56.9956,2.09593,0.027105,3.13706
353291,0,23465.6,27570.6,4531.38,23464.3,27579.0,4535.6,35.7537,8.44735,58.6876,1.39798,0.0265587,4.28471
353875,0,34200.4,26973.4,27611.3,34198.1,26974.1,27602.2,36.9532,7.1705,60.6548,1.35542,0.0185583,4.24133
354187,0,11418.0,11611.0,34809.4,11411.0,11609.7,34836.9,24.28,3.99488,62.4001,0.605208,0.019061,3.28018
354188,0,11382.5,11609.8,34962.3,11381.4,11607.9,34962.7,9.58929,2.48866,19.2075,0.770282,0.0277356,0.525984
354506,0,28010.4,11791.3,3296.71,28003.7,11765.0,3297.48,26.4021,4.57053,59.6215,0.829018,0.0213531,3.16344
354791,0,19052.2,3242.0,18124.6,19065.8,3239.13,18130.9,20.8302,2.99673,51.7115,0.334451,0.0104818,3.09104
354792,0,19248.0,3230.9,18124.7,19247.0,3231.84,18126.0,14.0105,6.26693,30.3016,0.6182,0.0177139,1.56989
355055,0,20972.3,4406.14,5224.92,20966.4,4374.98,5218.86,18.6073,1.15972,72.8871,0.121047,0.00385558,3.10723
355056,0,21112.5,4186.45,5149.29,21114.0,4184.54,5147.39,10.1282,2.56251,31.084,0.205996,0.00838778,1.74866
355376,0,34646.0,6109.21,21662.7,34646.7,6103.14,21671.9,33.5814,8.34586,53.2332,1.30368,0.0252836,4.0151
355611,0,32186.8,19368.4,4656.12,32195.5,19358.6,4660.62,37.807,7.29531,68.1415,0.747287,0.0147244,5.01285
355971,0,32299.5,18626.7,2453.05,32306.9,18624.0,2460.78,39.9515,8.20239,50.4318,1.81783,0.0291232,3.61239
356189,0,31433.5,29672.6,11621.7,31426.1,29663.6,11622.3,32.1701,7.85347,55.5963,0.939865,0.0164309,4.44017
356404,0,27418.8,16264.3,30927.9,27420.2,16275.3,30918.1,41.4268,5.01511,67.4356,1.35965,0.0355254,3.65402
356757,0,31960.4,34848.7,5648.75,31948.9,34840.1,5647.28,38.6847,7.03726,60.9476,1.76318,0.0345864,3.26971
356971,0,17808.2,30727.1,15242.9,17807.5,30720.3,15239.7,40.1172,5.5493,56.5656,1.69255,0.0326737,3.63572
357215,0,31410.8,18995.4,8544.63,31419.4,18964.6,8559.07,30.3127,2.79086,67.8714,0.43047,0.0158692,3.92276
357491,0,282.713,18421.3,14999.8,290.603,18417.8,15003.5,37.6385,5.90878,58.8656,1.01797,0.0157334,3.91971
357766,0,10151.7,11062.0,29662.2,10136.9,11091.6,29669.9,34.4433,7.60134,72.6084,0.592518,0.0142458,3.95811
358121,0,9963.56,18411.9,10943.3,9948.66,18400.3,10952.3,36.4421,9.72442,59.4688,1.02538,0.0170247,4.54233
358412,0,25759.6,21417.3,34413.3,25744.0,21422.0,34407.4,18.4772,2.07048,47.3404,0.266591,0.00948165,2.38957
358413,0,25547.5,21410.9,34290.2,25545.3,21412.2,34284.5,14.2498,1.53905,41.268,0.334903,0.0102187,1.62278
358771,0,8403.82,29857.8,17583.6,8396.72,29851.0,17552.7,32.3805,3.70242,68.0881,0.843965,0.0204288,3.62085
